motif_length,motif,count
3,H-H-H,262
3,M-M-M,234
3,H-M-M,177
3,S-S-S,177
3,M-M-H,174
3,H-H-M,171
3,M-M-S,168
3,S-M-M,167
3,M-H-H,163
3,M-H-M,160
3,S-S-M,146
3,M-S-M,145
3,M-S-S,142
3,H-M-H,134
3,S-M-S,112
3,S-M-H,97
3,H-S-M,86
3,M-H-S,85
3,H-M-S,75
3,M-S-H,69
3,S-H-H,68
3,H-H-S,60
3,H-S-H,54
3,H-S-S,54
3,S-H-M,54
3,S-H-S,48
3,S-S-H,48
4,H-H-H-H,156
4,M-M-M-M,102
4,S-S-S-S,95
4,M-H-M-M,79
4,H-H-H-M,78
4,H-M-M-H,73
4,M-M-H-M,73
4,H-H-M-H,72
4,H-H-M-M,71
4,M-M-S-M,71
4,M-S-M-M,71
4,M-M-M-S,70
4,M-H-H-H,69
4,M-H-H-M,69
4,H-M-H-H,67
4,M-M-H-H,67
4,S-M-M-M,67
4,M-M-S-S,66
4,H-M-M-M,65
4,S-S-S-M,64
4,M-S-S-S,62
4,M-M-M-H,61
4,S-M-M-S,61
4,M-S-S-M,60
4,S-S-M-M,60
4,S-S-M-S,55
4,S-M-S-S,53
4,M-H-M-H,48
4,S-M-H-M,44
4,H-M-H-M,41
4,S-M-S-M,41
4,M-S-M-S,39
4,S-M-M-H,39
4,H-M-M-S,37
4,M-S-H-H,36
4,H-S-M-M,35
4,M-M-H-S,34
4,M-S-M-H,34
4,S-H-H-H,34
4,H-H-S-M,33
4,H-M-S-M,33
4,M-H-M-S,33
4,H-S-M-H,32
4,M-H-S-M,32
4,M-M-S-H,31
4,S-S-M-H,31
4,M-H-S-H,28
4,S-M-H-H,27
4,H-H-M-S,26
4,S-M-H-S,26
4,H-M-H-S,25
4,M-H-S-S,25
4,S-H-M-M,25
4,H-H-H-S,24
4,H-S-H-H,23
4,M-H-H-S,23
4,H-M-S-S,22
4,H-S-S-M,22
4,S-H-H-M,21
4,S-H-S-M,21
4,S-S-H-S,21
4,H-M-S-H,20
4,H-S-S-S,20
4,M-S-H-M,20
4,M-S-S-H,20
4,S-H-S-S,20
4,H-H-S-H,18
4,H-S-M-S,18
4,S-M-S-H,18
4,S-S-H-M,18
4,S-S-S-H,17
4,H-S-H-M,16
4,S-H-M-S,15
4,H-S-H-S,14
4,S-H-M-H,14
4,M-S-H-S,13
4,S-H-H-S,13
4,H-S-S-H,11
4,H-H-S-S,9
4,S-S-H-H,9
4,S-H-S-H,7
5,H-H-H-H-H,97
5,S-S-S-S-S,55
5,H-H-H-H-M,46
5,H-H-M-M-H,40
5,H-H-H-M-H,38
5,H-H-M-H-H,38
5,M-H-H-H-H,38
5,M-M-M-M-M,38
5,M-M-S-M-M,38
5,M-M-H-M-M,36
5,S-M-M-M-M,36
5,M-H-M-M-M,35
5,S-S-S-M-M,35
5,M-H-H-M-M,34
5,M-M-M-M-H,33
5,H-M-M-H-H,32
5,M-M-H-H-M,32
5,M-M-M-S-M,32
5,H-M-M-H-M,31
5,M-M-M-M-S,30
5,M-M-S-S-S,30
5,M-S-S-S-S,30
5,S-S-S-S-M,30
5,M-M-H-H-H,29
5,M-S-M-M-M,29
5,H-M-H-H-H,28
5,H-M-H-H-M,28
5,H-M-M-M-M,28
5,M-M-M-H-M,28
5,M-M-M-S-S,28
5,M-M-S-S-M,28
5,M-S-S-S-M,27
5,S-M-M-S-M,27
5,S-S-M-S-S,27
5,M-H-H-M-H,26
5,S-M-M-S-S,26
5,M-H-M-H-H,25
5,M-S-S-M-S,25
5,S-M-M-M-S,25
5,H-H-H-M-M,24
5,M-S-M-M-S,24
5,S-M-S-S-M,24
5,S-S-M-M-S,24
5,M-H-H-H-M,23
5,M-H-M-M-H,23
5,M-M-H-M-H,23
5,S-S-M-S-M,23
5,H-H-M-M-M,22
5,H-M-M-M-H,22
5,S-M-H-M-M,22
5,S-S-M-M-M,22
5,H-H-M-H-M,21
5,S-S-S-M-S,21
5,H-M-H-M-M,20
5,M-H-M-M-S,20
5,M-M-M-H-H,20
5,S-M-S-M-M,20
5,S-M-S-S-S,20
5,M-S-M-S-S,19
5,M-S-S-M-M,19
5,S-S-M-H-M,19
5,M-M-S-H-H,18
5,M-M-S-M-H,18
5,M-S-M-M-H,18
5,S-H-H-H-H,18
5,M-S-H-H-H,17
5,H-M-H-M-H,16
5,H-S-M-M-M,16
5,M-S-S-M-H,16
5,H-M-M-M-S,15
5,M-H-H-S-M,15
5,M-H-M-H-M,15
5,S-M-M-H-H,15
5,H-H-H-M-S,14
5,M-H-S-H-H,14
5,M-H-S-M-H,14
5,M-M-H-M-S,14
5,M-M-S-M-S,14
5,M-S-M-H-M,14
5,S-M-S-M-S,14
5,S-S-M-M-H,14
5,H-H-M-H-S,13
5,H-H-M-S-M,13
5,H-H-S-M-H,13
5,H-M-M-S-H,13
5,H-M-S-M-M,13
5,H-S-H-H-H,13
5,H-S-M-H-H,13
5,M-H-M-S-M,13
5,M-H-S-M-M,13
5,M-M-M-H-S,13
5,S-M-H-M-S,13
5,S-M-M-H-M,13
5,H-H-S-M-M,12
5,H-M-H-S-M,12
5,H-M-M-S-M,12
5,H-M-M-S-S,12
5,H-M-S-H-H,12
5,H-S-M-M-S,12
5,M-M-H-S-H,12
5,M-S-M-H-S,12
5,M-S-M-S-M,12
5,S-H-H-M-M,12
5,H-H-H-S-M,11
5,H-M-S-M-S,11
5,H-M-S-S-S,11
5,H-S-M-H-M,11
5,M-H-M-S-S,11
5,M-M-H-S-M,11
5,M-M-H-S-S,11
5,M-S-H-H-S,11
5,S-H-S-S-M,11
5,S-M-H-H-H,11
5,S-M-M-H-S,11
5,H-H-H-H-S,10
5,H-H-H-S-H,10
5,H-M-M-H-S,10
5,H-S-S-S-S,10
5,M-H-S-S-M,10
5,M-M-M-S-H,10
5,M-M-S-H-M,10
5,S-H-S-M-M,10
5,S-M-H-S-S,10
5,S-S-H-S-S,10
5,H-H-M-M-S,9
5,H-M-H-H-S,9
5,H-M-H-S-H,9
5,H-M-S-M-H,9
5,H-S-H-H-M,9
5,H-S-H-M-M,9
5,H-S-S-M-S,9
5,M-H-H-M-S,9
5,M-H-M-S-H,9
5,M-S-H-M-M,9
5,M-S-S-H-M,9
5,S-H-H-H-M,9
5,S-M-H-M-H,9
5,S-M-H-S-M,9
5,S-M-S-S-H,9
5,S-S-S-S-H,9
5,H-H-S-H-H,8
5,H-H-S-M-S,8
5,H-M-S-S-M,8
5,H-S-M-H-S,8
5,M-H-S-H-M,8
5,M-H-S-S-S,8
5,M-M-S-S-H,8
5,M-S-H-H-M,8
5,M-S-M-H-H,8
5,M-S-M-S-H,8
5,M-S-S-H-S,8
5,S-H-M-M-H,8
5,S-H-M-M-M,8
5,S-H-M-M-S,8
5,S-M-H-H-M,8
5,S-M-H-H-S,8
5,S-M-M-S-H,8
5,S-S-H-S-M,8
5,S-S-S-H-S,8
5,S-S-S-M-H,8
5,H-H-M-S-H,7
5,H-S-H-S-S,7
5,H-S-M-M-H,7
5,H-S-M-S-S,7
5,H-S-S-M-H,7
5,H-S-S-S-M,7
5,M-H-H-H-S,7
5,M-H-M-H-S,7
5,M-S-H-S-M,7
5,S-H-H-H-S,7
5,S-H-H-M-H,7
5,S-H-H-S-M,7
5,S-M-H-S-H,7
5,S-M-S-M-H,7
5,S-S-H-M-M,7
5,H-H-M-S-S,6
5,H-H-S-S-S,6
5,H-S-H-S-M,6
5,H-S-M-S-M,6
5,H-S-S-H-M,6
5,H-S-S-M-M,6
5,M-H-S-H-S,6
5,M-H-S-S-H,6
5,M-M-H-H-S,6
5,M-S-H-M-S,6
5,S-H-M-S-M,6
5,S-H-S-M-S,6
5,S-H-S-S-S,6
5,S-M-M-M-H,6
5,S-M-S-H-H,6
5,S-M-S-H-M,6
5,S-M-S-H-S,6
5,S-S-H-M-S,6
5,S-S-M-H-H,6
5,S-S-M-H-S,6
5,S-S-S-H-H,6
5,H-H-S-H-M,5
5,H-H-S-H-S,5
5,H-M-H-M-S,5
5,H-S-M-S-H,5
5,H-S-S-H-S,5
5,M-S-H-M-H,5
5,M-S-S-S-H,5
5,S-H-M-H-M,5
5,S-H-M-H-S,5
5,S-H-M-S-S,5
5,S-H-S-M-H,5
5,S-S-H-M-H,5
5,S-S-M-S-H,5
5,H-M-H-S-S,4
5,H-M-S-H-M,4
5,H-M-S-H-S,4
5,H-S-H-M-H,4
5,M-H-H-S-H,4
5,M-H-H-S-S,4
5,M-H-S-M-S,4
5,S-H-H-S-H,4
5,S-H-M-H-H,4
5,S-H-M-S-H,4
5,S-S-H-H-H,4
5,S-S-H-H-M,4
