speech_id,from_state,to_state,transition
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,S,S→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,S,S→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,S,S→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,M,M→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,S,S→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ But, If Not_sentences",M,S,M→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,H,S→H
"#MLK _ But, If Not_sentences",H,H,H→H
"#MLK _ But, If Not_sentences",H,M,H→M
"#MLK _ But, If Not_sentences",M,H,M→H
"#MLK _ But, If Not_sentences",H,S,H→S
"#MLK _ But, If Not_sentences",S,M,S→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,H,H→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,M,H→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,H,M→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,S,H→S
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",S,M,S→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,H,M→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,H,H→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,M,H→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,M,M→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,H,M→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,M,H→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,M,M→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,M,M→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,S,M→S
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",S,M,S→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,H,M→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,H,H→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,H,H→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,M,H→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,M,M→M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",M,H,M→H
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H,H,H→H
