speech_id,rhetorical_rhythm_sequence
"#MLK _ But, If Not_sentences",M M H M H H S H H H H M M H H H M H M H M M M H M M M H S M M S S H M S M H M H M M S S H S S M H H S H M H H S M H S M M M S M M H M H H S S M S H S M S H S H H M H S M
"#MLK _ Nobel Peace Prize Lecture. Oslo, Norway. December 11, 1964._sentences",H H M H S M H H M M H M M M S M H H H M M H H M H H H M M M H M M S H H H H H H M H H H M H M M H H H M M H M M S M M M M H H M H H M H H H H H H H H H H H M H H H M H S M H H H H H H M S H H H H H H M H S H H H H H M M H M M H H H H M H H M H M H H M H M H S M H M H H H H H M H H H M S H S M H H M S H S M H H M M H H H H H M S S H H H H H M H M H H M M H M H M S H M S H H H H S H H H M M H S M H H H H H H H H H M H H H H H H H H H H M H M M H M H H M H S H H H H H H H H H H S H S M M H H M H H H H M M S H M M H S H H M H H H S M M H H H H M H H S S S S S S
Beyond Vietnam-A Time to Break Silence 4-4-67_sentences,H M M H H M M H H S M M M S H M H H M M H S M M S H M M S H M S H H H H H H M M H M H M M H H H H M H M H S H H H S H H M H H H S H H M M H H M M M S M S M H S H M H H M M H H M M H M H H M M H M H H M M H H H H H M H M H M M H H H M H M M M S M M M M S S S M H S M H M M H M M M H H M M M H H H H H H H H M S H H H S H H H H H H M S M H M S M M H S S M M S M H M H H M S M M H M H S H H H H H H H M H H M M M H M H S H M M M H S H H H H H H H H H H M S M M H H H H H H H H H M H H H H H H M M S H H H H H H H H M H M M H H S M S H M M H H H M S M S S H M M H M H S H M M S S M H M M M M S S M M H H H H H H S H S H
I Have Been to the Mountaintop Full Speech_sentences,H M S M S S H S H S S H M S M S M S H S H M H M M H S M S H S H S M M S M H S H S M M M S S M M S S S S S S M H H S M H M S H H M M S H S M M H M M S H S M S M M M M M M S S M S S S S M S M M S H H S S H M M M M M M S S M H M M S M H M M S H M M S M H M M S H H S S H S M S S S M S H M S M S M M H M M S H M S S S S S M M H S M M M M M H S S M S S S M S M S S S S S S S S M M M H H S M S S M H M M M M M H H H M M M S S M M M H M M M M M M M M M S S S M S M M S M M M M H M S M S H H M M M S M M M S S S M M M S M S M S S H H M M S H M M M M S M M M M M S S S H M S S S S S H S S M M S M
MLKDream_64kb_sentences,H H H H M M H H H H H S M H H M M H M M M H H M M H S H H H M M H H M M S S S S S S M M S M H H S M H M H H S S S S S M M M S M H M M H H M S H M S M H S S M H H S M H M S H H H H H M
MLK_ On Peace and Nonviolence_sentences,H H M S S M H M H H M M H H M H M M M M H H M M S M M M M H H M H H M H H
MLK_ Paul's Letter to American Christians_sentences,M H M M H M S M S H M M S S M S M H S S M S M M S M M M M S S S S S H H H M H M M M M H S H H H S M M M S S M S S H M S M M H S S S M S M H M S M H M M M M S M S M H M S H H S M H S M M S M S S S S S M M M H M M M H H M S H H M H H H H H S H S M M M S M M S M H M M H M S H H M M M M M M M M M H M S M M H S H S S M H M M H M M M M S M M M S M M M S M S H S S M S S S M H M S S M S S M S S S S S M S S H S M H S S S S S S S M S M S M S S H S S M S S M H M S M M M M S H H M M M M H H M S H S S M H M M H H H H H H
MLK_ The Other America_sentences,H H M M M S H H H H M H H M H H M M M H H H H H H M S M M M M H M H H M H H M M H H M M H M M M H M M M M M M H S H S M M M M S S M M M M H S M H H H H M M H H H H S M S S S M M H H M H M M M M M M H M H H H M H M H M H H H M H H M H M H M M M H M S M M H M H H M M H H M M M M M S H H H M H S M H M S M H S M H M S S M H H H M S M M M H H H M M H M M S M S S M H M M M H M S M S S M H M M M S M H M M H S H H M H H S H H H M H M H H H H H S H M M H H M H H H M H H H
"Martin Luther King Jr. 'Love Your Enemies' November 17, 1957_sentences",M H H M H H M M M M S M M M M M M H M M M M H M H M H M M M M M M S S S M M M M S H H S M M H H H H H M H H H H H M H H S M M S S M M S M H S M S S H S S S S S S S M S S M M M S M M S M S H M H S M H S M H M H M M H M M S S S M S S M M S S S M S M H S M M S S S M M S S S S S S M H M M S S M S S S M M S S S M M H H M H S S H M H S S M M M M H M M H M M M H M S M S S S S S S H S M S H H H S S S M S M M S H H M M H S H M M S M M H H M M S S S S S M M M M M M S M M H S M M S H H S M M S S S S M M S S S H H M S S S M H S S S H S M H H S S S M M M S M H S H H S M H H H M M S H H S H S S H S S H M M M S M M M M S M M S M M H M M S H H H H M S M M M M M M H H M M H H M M M H M M
"Martin Luther King Jr. 'Rediscovering Lost Values' February 28, 1954_sentences",M S S S M M H S M H S H S M M M M S M M M S M H M S M S S H M M H M M S S M H M S H M H M S S M M S S M M M S M M S M M M M H M M S M S S M M M S S S S S M M S S S M S M S S S S M S M M S H H S H M S M H H S M S S S M M S M S S M S M M S M S S S M M S M M M M S S M S S S S H S S S S S S S M M S M M S S S S S S M M S M M S M M S M M S S M M S S S S S S M S M M S S M S S M H M M M H H M H H M H H M S M S M M H M M M M M M H M M S S M S M H S M M S M S H S S M M H H S M S M S M S S M S S M S S S M M S M S S M S H H S M H S S S S S M M S S H M H S M M H S S H S H M S S S M M H S M M S H H H H H H
"Martin Luther King Jr. - 'Give Us the Ballot' Speech - May 17, 1957_sentences",H H H H H M H H H H H H H H H H H M M H M H H H H H H M H H H S M S M M H H M M H M S M H H M M H H M S M M M S M S S M S S S M M S H S M S S M H S H H M M M S M H S M M M H M S H S M M H M H M S S S S H S M M M M H M S H H H H H M M H M H H H H H S M M M S S M H S S M M S H M M S M H H H S M M M M
"Martin Luther King Jr. - 'Great March to Freedom Rally' Speech - Detroit, Michigan - June 23, 1963_sentences",H H H H H S H H H M H M H M H
"Martin Luther King Jr. “A Knock at Midnight” - February 11, 1962_sentences",M H M S S M M H H M S S M M M H S S M S S M H M M M M H H M M H M H H M M H H M S M M S M M M M H M H H H M M H M S S S S M S H H H M H H H H H H H M M M M H H S M M M M H M M M H H S M S S S S S M M M M S M M S S S S S M H M S S H S H M M S S M S M M H M H M S S S M M H H M M M H M S S M M H M M S M M H M M M S S S S M M M M H S S H S M M S M H H M H S S S S S S S M S S S S M M M S S S M M S M M S S S H H H M S M S M H S H S S M S M M H S S H M H M H S S
"Martin Luther King Jr., _Why Jesus Called a Man a Fool_ August 27, 1967_sentences",S M M S M M S M M S S M M S S H S S S S S M S M M M S S H M M M S H H H S M M S M M S S S H S S S S S M M M M S S M S M M H M M M M S M M M M S S S M M M M S S H M H S M S M M M S S M S M M S S M M S S S S S S S M M H S S M S S M S S S S S S H S M S M S M M S S S M S S S S S H M S S S S M M S S S M S M S M S M S S M S S H S M H S S S M M H S S S S S S S S S H H M M M M S H M M S M M M M H S H M M
Martin Luther King's Sermon_ The Drum Major Instinct_sentences,M H H H S M M M S M S S M S H H S M M M S H H S H S S M H H S M H S S H S S S M H M M H M H H M M S S M S S M H S S M S S M S M M M M M M M S S M M M S S M M M M S M M M M H M M S M M S S M S S M M H H H M H M M M S S H H M S S S S H S S M M M M H S H M M M M H M M H H H S S S M H M M M H S M S H M S S S H H H S M H M M S S S S S M S S M H H H M
mlktempleisraelhollywoodfull_sentences,H S H S S S H H S M S M M M S M H S H M S H H M M M M M S H H H M S S H M M H M H H M H S H H M H H H H M M H M M M H M M M S M H M M M M H M H M M H M M H M M M S M M H H M H H M H M H H M M H S H S S M H M H M M H S M M M S S H M H H S M H H M H M S H M H M H H H H M M M H H H H H M H S H M M H M S M H H M H H S H H H H H M H H H H H M S M M M M H H H H
mlkyouthconference_sentences,H M M H H H H M M M M M M H S S M H S S S H M M M M H S H H M M M S H M H M M S M H M S S S M M H M S S M S M S H M M M M S S M S S M H M H S H H M M H S S H M S H H H S H M M H H H H M H H M M H H H H H M H H H H S S S M S M S H H M H S M H H H S M H H H M S M H H S M H M M H H H M H S M M H H M H M M H M M S H H S H M H S M H H H M M H H H H M M M H H H M H S M H M H H
